epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1980.67,0.80214,1.17886,1.28472,0.67416,0.70297,0.72213,0.55187,0.96054,1.51636,1.52949,0.00082925,0.00082925,0.00082925
19,2090.62,0.77455,1.22501,1.30826,0.80933,0.77661,0.82384,0.5453,1.06636,1.46295,1.70057,0.0008045,0.0008045,0.0008045
20,2199.89,0.74393,1.13602,1.26898,0.66779,0.81479,0.79788,0.59498,0.87432,1.32227,1.46905,0.00077975,0.00077975,0.00077975
21,2309.08,0.71229,1.08058,1.24499,0.7235,0.80805,0.83323,0.63755,0.84145,1.2274,1.43015,0.000755,0.000755,0.000755
22,2418.78,0.73549,1.06069,1.24814,0.68192,0.70437,0.76832,0.59686,0.85236,1.33029,1.43765,0.00073025,0.00073025,0.00073025
23,2529.27,0.72166,1.03716,1.24772,0.78273,0.6552,0.78389,0.59866,0.86434,1.33094,1.4694,0.0007055,0.0007055,0.0007055
24,2639.25,0.67188,1.03874,1.19267,0.70706,0.76296,0.79483,0.56994,0.9135,1.40023,1.51652,0.00068075,0.00068075,0.00068075
25,2749.53,0.67206,0.98206,1.21237,0.79374,0.75073,0.83319,0.65893,0.88692,1.29921,1.47931,0.000656,0.000656,0.000656
26,2860.12,0.65108,0.96895,1.18581,0.76626,0.73008,0.81905,0.65764,0.7981,1.32816,1.39186,0.00063125,0.00063125,0.00063125
27,2970.31,0.64572,0.97358,1.18736,0.7347,0.78882,0.82748,0.64967,0.78787,1.17274,1.40203,0.0006065,0.0006065,0.0006065
28,3080.2,0.6558,0.9683,1.19764,0.75582,0.8386,0.80478,0.6189,0.83511,1.24383,1.42773,0.00058175,0.00058175,0.00058175
29,3190.78,0.67527,0.97553,1.21603,0.74301,0.8327,0.83453,0.66138,0.81736,1.17386,1.36934,0.000557,0.000557,0.000557
30,3301.07,0.61886,0.90946,1.18333,0.7678,0.85525,0.86997,0.69717,0.71665,1.05772,1.30427,0.00053225,0.00053225,0.00053225
31,3411.71,0.57686,0.84646,1.13104,0.78231,0.80057,0.86339,0.70203,0.7572,1.10859,1.37203,0.0005075,0.0005075,0.0005075
32,3521.99,0.61287,0.85331,1.17842,0.74031,0.82662,0.85848,0.6926,0.77756,1.1235,1.38719,0.00048275,0.00048275,0.00048275
33,3637.77,0.59469,0.86583,1.15073,0.80537,0.77512,0.85913,0.69039,0.76712,1.03331,1.33995,0.000458,0.000458,0.000458
34,3747.16,0.6089,0.86228,1.16472,0.81091,0.84072,0.87074,0.70172,0.73421,1.0421,1.31709,0.00043325,0.00043325,0.00043325
35,3856.54,0.60962,0.84595,1.15924,0.76249,0.84301,0.84038,0.69812,0.69403,1.03718,1.28713,0.0004085,0.0004085,0.0004085
36,3965.93,0.58976,0.812,1.13357,0.74118,0.85412,0.84404,0.67485,0.81409,1.04949,1.38762,0.00038375,0.00038375,0.00038375
37,4075.02,0.59206,0.82059,1.15211,0.80972,0.81701,0.86185,0.70484,0.72346,1.07142,1.31198,0.000359,0.000359,0.000359
38,4184.82,0.56258,0.79152,1.12782,0.78822,0.84147,0.88915,0.73563,0.68644,1.08515,1.28294,0.00033425,0.00033425,0.00033425
39,4294.19,0.5314,0.72383,1.11351,0.78349,0.88372,0.89413,0.74773,0.67782,0.99668,1.25718,0.0003095,0.0003095,0.0003095
40,4403.25,0.51512,0.74385,1.12141,0.88419,0.74882,0.89554,0.76198,0.66536,0.95766,1.23915,0.00028475,0.00028475,0.00028475
41,4511.96,0.5009,0.81128,1.13762,0.78668,0.81045,0.85084,0.70384,0.72326,1.1623,1.28191,0.00026,0.00026,0.00026
42,4621.37,0.46099,0.73345,1.1092,0.77209,0.81853,0.84723,0.66332,0.79906,1.11951,1.38929,0.00023525,0.00023525,0.00023525
43,4730.34,0.46354,0.66527,1.12983,0.74639,0.87135,0.87048,0.73216,0.64137,1.01543,1.2228,0.0002105,0.0002105,0.0002105
44,4839.28,0.41607,0.62294,1.04662,0.8106,0.86327,0.88819,0.76636,0.56574,0.92995,1.15614,0.00018575,0.00018575,0.00018575
45,4948.16,0.41803,0.62287,1.0604,0.8272,0.81655,0.8899,0.76992,0.57263,0.96307,1.1613,0.000161,0.000161,0.000161
46,5056.64,0.38159,0.58364,1.03295,0.8041,0.84903,0.89106,0.77448,0.58874,0.97605,1.17074,0.00013625,0.00013625,0.00013625
47,5165.27,0.3895,0.56538,1.0323,0.80451,0.88805,0.89814,0.76891,0.59899,0.97987,1.17918,0.0001115,0.0001115,0.0001115
48,5274.28,0.39387,0.57539,1.05186,0.80007,0.86071,0.8884,0.76589,0.58742,0.96391,1.16614,8.675e-05,8.675e-05,8.675e-05
49,5383.88,0.37692,0.56466,1.04639,0.76786,0.88232,0.89032,0.76699,0.58335,0.94805,1.15561,6.2e-05,6.2e-05,6.2e-05
50,5493.49,0.3617,0.54037,1.00982,0.79739,0.85917,0.88251,0.76739,0.5819,0.97539,1.152,3.725e-05,3.725e-05,3.725e-05
