epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.283,0.93738,2.90917,1.39821,0.01306,0.95789,0.35626,0.20423,1.02879,3.60577,1.67326,0.0002875,0.0002875,0.0002875
2,221.544,0.8729,2.01294,1.36649,0.82631,0.19995,0.48385,0.29663,1.14455,3.07474,1.84955,0.000575868,0.000575868,0.000575868
3,331.472,0.93851,1.96874,1.42532,0.44031,0.32799,0.35556,0.19822,1.29626,3.62465,2.04215,0.000852355,0.000852355,0.000852355
4,445.298,1.05852,1.92111,1.51715,0.25326,0.47796,0.26231,0.12366,1.76835,3.46959,2.39718,0.00111696,0.00111696,0.00111696
5,555.463,0.96809,1.81072,1.43213,0.32818,0.41171,0.38481,0.20111,1.34363,2.81378,2.06326,0.001151,0.001151,0.001151
6,665.295,0.94507,1.69393,1.41347,0.37921,0.47545,0.39788,0.19208,1.57814,3.17817,2.79617,0.00112625,0.00112625,0.00112625
7,777.803,0.94416,1.6448,1.42378,0.39143,0.40133,0.31407,0.17095,1.44619,2.92901,2.11615,0.0011015,0.0011015,0.0011015
8,887.042,0.96534,1.62177,1.43668,0.57602,0.4159,0.47167,0.22834,1.38767,2.55657,2.06966,0.00107675,0.00107675,0.00107675
9,996.422,0.90804,1.54441,1.38479,0.54344,0.30615,0.33503,0.16151,1.57863,2.79185,2.41155,0.001052,0.001052,0.001052
10,1105.73,0.91229,1.48594,1.39009,0.63561,0.58117,0.65664,0.36048,1.29137,1.99544,1.9209,0.00102725,0.00102725,0.00102725
11,1215.25,0.91483,1.51007,1.39898,0.5757,0.61116,0.62754,0.36487,1.16302,1.9965,1.71829,0.0010025,0.0010025,0.0010025
12,1324.89,0.8751,1.43736,1.34947,0.4691,0.61722,0.56403,0.35434,1.10749,2.56277,1.71936,0.00097775,0.00097775,0.00097775
13,1433.95,0.82493,1.35295,1.32724,0.69196,0.49372,0.60658,0.35991,1.11012,1.95855,1.70836,0.000953,0.000953,0.000953
14,1543.79,0.84447,1.37623,1.34661,0.65088,0.51676,0.55285,0.35605,1.01433,2.0331,1.63967,0.00092825,0.00092825,0.00092825
15,1652.34,0.81188,1.29376,1.32101,0.5693,0.66209,0.68378,0.48932,0.98715,1.64932,1.60419,0.0009035,0.0009035,0.0009035
16,1761.99,0.83781,1.30733,1.33264,0.52953,0.63877,0.63108,0.41808,1.09075,1.74576,1.68444,0.00087875,0.00087875,0.00087875
17,1871.33,0.79506,1.23177,1.28544,0.65883,0.63459,0.67532,0.47714,0.98949,1.55917,1.54625,0.000854,0.000854,0.000854
